predicted_tables,reference_tables,query,question,db_id
SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code IN ( SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code HAVING COUNT(*) < 3 ),Templates,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,What are the codes of template types that have fewer than 3 templates?,cre_Doc_Template_Mgt
"To find the smallest version number and its corresponding template type code, you can use the following SQL query: ```sql SELECT t.Version_Number, r.Template_Type_Code FROM Templates t JOIN Ref_Template_Types r ON t.Template_Type_Code = r.Template_Type_Code ORDER BY t.Version_Number LIMIT 1",Templates,"SELECT min(Version_Number) ,  template_type_code FROM Templates",What the smallest version number and its template type code?,cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the ""Templates"" table. The ""Templates"" table has a column named ""Version_Number"" which represents the version number of the template, and a column named ""Template_Type_Code"" which represents the type of the template. To return the lowest version number along with its corresponding template type code, you can use the following SQL query: ```sql SELECT t.Version_Number, t.Template_Type_Code FROM Templates t ORDER BY t.Version_Number ASC LIMIT 1",Templates,"SELECT min(Version_Number) ,  template_type_code FROM Templates","Return the lowest version number, along with its corresponding template type code.",cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the `Templates` and `Documents` tables. The `Templates` table has a foreign key `Template_Type_Code` that references `Ref_Template_Types` table. The `Documents` table has a foreign key `Template_ID` that references `Templates` table. To find the template type code of the template used by the document with the name ""Data base"", you can use the following SQL query: ```sql SELECT t.Template_Type_Code FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID WHERE d.Document_Name = 'Data base'","Templates, Documents","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""","What is the template type code of the template used by document with the name ""Data base""?",cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the tables `Documents`, `Templates`, and `Ref_Template_Types`. To determine the template type code of the template used by a document named ""Data base"", you can use the following SQL query: ```sql SELECT rtt.Template_Type_Code FROM Documents d JOIN Templates t ON d.Template_ID = t.Template_ID JOIN Ref_Template_Types rtt ON t.Template_Type_Code = rtt.Template_Type_Code WHERE d.Document_Name = 'Data base'","Templates, Documents","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",Return the template type code of the template that is used by a document named Data base.,cre_Doc_Template_Mgt
SELECT d.Document_Name FROM Documents d INNER JOIN Templates t ON d.Template_ID = t.Template_ID WHERE t.Template_Type_Code = 'BK',"Templates, Documents","SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",Show all document names using templates with template type code BK.,cre_Doc_Template_Mgt
SELECT D.Document_Name FROM Documents D INNER JOIN Templates T ON D.Template_ID = T.Template_ID WHERE T.Template_Type_Code = 'BK',"Templates, Documents","SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",What are the names of documents that use templates with the code BK?,cre_Doc_Template_Mgt
"SELECT rtt.Template_Type_Code, COUNT(d.Document_ID) AS Number_of_Documents FROM Ref_Template_Types rtt JOIN Templates t ON rtt.Template_Type_Code = t.Template_Type_Code JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY rtt.Template_Type_Code","Templates, Documents","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",Show all template type codes and the number of documents using each type.,cre_Doc_Template_Mgt
"To answer this question, you would need to write a SQL query that selects the different Template_Type_Codes from the Ref_Template_Types table and counts how many documents use each type. This can be achieved by joining the Templates and Documents tables on the Template_ID field. Here is an example of how you could write this query: ```sql SELECT rtt.Template_Type_Code, COUNT(d.Document_ID) AS Number_of_Documents FROM Ref_Template_Types rtt JOIN Templates t ON rtt.Template_Type_Code = t.Template_Type_Code JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY rtt.Template_Type_Code","Templates, Documents","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code","What are the different template type codes, and how many documents use each type?",cre_Doc_Template_Mgt
"To answer this question, we need to join the `Templates` and `Documents` tables on the `Template_ID` field. Then, we can group by `Template_Type_Code` and count the number of documents for each template type. The template type code with the maximum count will be the one used by the most number of documents. Here is the SQL query to get the result: ```sql SELECT t.Template_Type_Code, COUNT(d.Document_ID) AS document_count FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY t.Template_Type_Code ORDER BY document_count DESC LIMIT 1","Templates, Documents",SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,Which template type code is used by most number of documents?,cre_Doc_Template_Mgt
"To answer this question, we need to join the `Templates` and `Documents` tables, group by `Template_Type_Code`, and count the number of documents for each template type. The template type with the highest count will be the most commonly used. Here is the SQL query to achieve this: ```sql SELECT t.Template_Type_Code FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY t.Template_Type_Code ORDER BY COUNT(d.Document_ID) DESC LIMIT 1","Templates, Documents",SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,Return the code of the template type that is most commonly used in documents.,cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the `Ref_Template_Types` table. To determine the template type codes that are not used by any document, you can use the following SQL query: ```sql SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code NOT IN ( SELECT DISTINCT Template_Type_Code FROM Templates JOIN Documents ON Templates.Template_ID = Documents.Template_ID )","Templates, Documents",SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,Show all template type codes that are not used by any document.,cre_Doc_Template_Mgt
SELECT DISTINCT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code NOT IN (SELECT DISTINCT Template_Type_Code FROM Templates),"Templates, Documents",SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,What are the codes of template types that are not used for any document?,cre_Doc_Template_Mgt
"SELECT Template_Type_Code, Template_Type_Description FROM Ref_Template_Types",Ref_template_types,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",Show all template type codes and descriptions.,cre_Doc_Template_Mgt
"SELECT Template_Type_Code, Template_Type_Description FROM Ref_Template_Types",Ref_template_types,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",What are the type codes and descriptions for all template types?,cre_Doc_Template_Mgt
"The template type description for template type code ""AD"" is ""Advertisement"". This is determined by the following SQL query: ```sql SELECT Template_Type_Description FROM Ref_Template_Types WHERE Template_Type_Code = 'AD'",Ref_template_types,"SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""","What is the template type descriptions for template type code ""AD"".",cre_Doc_Template_Mgt
SELECT r.Template_Type_Description FROM Ref_Template_Types r WHERE r.Template_Type_Code = 'AD',Ref_template_types,"SELECT template_type_description FROM Ref_template_types WHERE template_type_code  =  ""AD""",Return the template type description of the template type with the code AD.,cre_Doc_Template_Mgt
SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Description = 'Book',Ref_template_types,"SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","What is the template type code for template type description ""Book"".",cre_Doc_Template_Mgt
SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Description = 'Book',Ref_template_types,"SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""","Return the type code of the template type with the description ""Book"".",cre_Doc_Template_Mgt
SELECT DISTINCT rtt.Template_Type_Description FROM Templates t JOIN Ref_Template_Types rtt ON t.Template_Type_Code = rtt.Template_Type_Code JOIN Documents d ON t.Template_ID = d.Template_ID WHERE d.Document_ID IS NOT NULL,"Ref_template_types, Templates, Documents",SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,What are the distinct template type descriptions for the templates ever used by any document?,cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the `Templates` and `Ref_Template_Types` tables. The `Templates` table has a foreign key `Template_Type_Code` that references `Template_Type_Code` in the `Ref_Template_Types` table. To return the different descriptions for templates that have been used in a document, you can use the following SQL query: ```sql SELECT DISTINCT Template_Type_Description FROM Templates INNER JOIN Ref_Template_Types ON Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code","Ref_template_types, Templates, Documents",SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,Return the different descriptions for templates that have been used in a document.,cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates INNER JOIN Ref_Template_Types ON Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code WHERE Ref_Template_Types.Template_Type_Description = 'Presentation',"Ref_template_types, Templates","SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""","What are the template ids with template type description ""Presentation"".",cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates INNER JOIN Ref_Template_Types ON Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code WHERE Ref_Template_Types.Template_Type_Description = 'Presentation',"Ref_template_types, Templates","SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""",Return the ids corresponding to templates with the description 'Presentation'.,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Paragraphs,Paragraphs,SELECT count(*) FROM Paragraphs,How many paragraphs in total?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Paragraphs,Paragraphs,SELECT count(*) FROM Paragraphs,Count the number of paragraphs.,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Paragraphs WHERE Document_ID IN (SELECT Document_ID FROM Documents WHERE Document_Name = 'Summer Show'),"Paragraphs, Documents",SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',How many paragraphs for the document with name 'Summer Show'?,cre_Doc_Template_Mgt
"To count the number of paragraphs in the document named 'Summer Show', you would need to join the `Documents`, `Paragraphs`, and `Templates` tables. The query would look something like this: ```sql SELECT COUNT(Paragraphs.Paragraph_ID) FROM Documents JOIN Paragraphs ON Documents.Document_ID = Paragraphs.Document_ID JOIN Templates ON Documents.Template_ID = Templates.Template_ID WHERE Documents.Document_Name = 'Summer Show'","Paragraphs, Documents",SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',Count the number of paragraphs in the document named 'Summer Show'.,cre_Doc_Template_Mgt
"To answer this question, we need to join the `Paragraphs`, `Documents`, `Templates`, and `Ref_Template_Types` tables. We can use the `Paragraph_Text` column to filter the rows where `Paragraph_Text` is 'Korea'. Here is the SQL query to do that: ```sql SELECT Paragraphs.Paragraph_ID, Paragraphs.Paragraph_Text, Documents.Document_Name, Templates.Template_Type_Code, Ref_Template_Types.Template_Type_Description FROM Paragraphs JOIN Documents ON Paragraphs.Document_ID = Documents.Document_ID JOIN Templates ON Documents.Template_ID = Templates.Template_ID JOIN Ref_Template_Types ON Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code WHERE Paragraphs.Paragraph_Text = 'Korea'",paragraphs,select other_details from paragraphs where paragraph_text like 'korea',Show paragraph details for paragraph with text 'Korea ' .,cre_Doc_Template_Mgt
